SEASON;Home;Away;HOME_TEAM;AWAY_TEAM;STADIUM;ATTENDANCE;HOME_TEAM_SCORE;AWAY_TEAM_SCORE;Status
2021-2022;1000000000;498950000;Manchester City;RB Leipzig;Etihad Stadium;38062;6;3;Galibiyet
2021-2022;200500000;889550000;Club Brugge KV;Paris Saint-Germain;Jan Breydel Stadion;27546;1;1;Beraberlik
2021-2022;889550000;1000000000;Paris Saint-Germain;Manchester City;Parc des Princes;37350;2;0;Galibiyet
2021-2022;498950000;200500000;RB Leipzig;Club Brugge KV;Red Bull Arena;23500;1;2;Mağlubiyet
2021-2022;200500000;1000000000;Club Brugge KV;Manchester City;Jan Breydel Stadion;24915;1;5;Mağlubiyet
2021-2022;889550000;498950000;Paris Saint-Germain;RB Leipzig;Parc des Princes;47359;3;2;Galibiyet
2021-2022;498950000;889550000;RB Leipzig;Paris Saint-Germain;Red Bull Arena;39794;2;2;Beraberlik
2021-2022;1000000000;200500000;Manchester City;Club Brugge KV;Etihad Stadium;50228;4;1;Galibiyet
2021-2022;1000000000;889550000;Manchester City;Paris Saint-Germain;Etihad Stadium;52030;2;1;Galibiyet
2021-2022;200500000;498950000;Club Brugge KV;RB Leipzig;Jan Breydel Stadion;24072;0;5;Mağlubiyet
2021-2022;498950000;1000000000;RB Leipzig;Manchester City;Red Bull Arena;0;2;1;Galibiyet
2021-2022;889550000;200500000;Paris Saint-Germain;Club Brugge KV;Parc des Princes;47492;4;1;Galibiyet
2021-2022;661800000;403580000;Atlético Madrid;FC Porto;Wanda Metropolitano;40098;0;0;Beraberlik
2021-2022;918900000;546950000;Liverpool FC;AC Milan;Anfield;51445;3;2;Galibiyet
2021-2022;403580000;918900000;FC Porto;Liverpool FC;Estádio do Dragão;23520;1;5;Mağlubiyet
2021-2022;546950000;661800000;AC Milan;Atlético Madrid;Giuseppe Meazza;35374;1;2;Mağlubiyet
2021-2022;661800000;918900000;Atlético Madrid;Liverpool FC;Wanda Metropolitano;60725;2;3;Mağlubiyet
2021-2022;403580000;546950000;FC Porto;AC Milan;Estádio do Dragão;32130;1;0;Galibiyet
2021-2022;546950000;403580000;AC Milan;FC Porto;Giuseppe Meazza;39675;1;1;Beraberlik
2021-2022;918900000;661800000;Liverpool FC;Atlético Madrid;Anfield;51347;2;0;Galibiyet
2021-2022;918900000;403580000;Liverpool FC;FC Porto;Anfield;52209;2;0;Galibiyet
2021-2022;661800000;546950000;Atlético Madrid;AC Milan;Wanda Metropolitano;61019;0;1;Mağlubiyet
2021-2022;403580000;661800000;FC Porto;Atlético Madrid;Estádio do Dragão;38830;1;3;Mağlubiyet
2021-2022;546950000;918900000;AC Milan;Liverpool FC;Giuseppe Meazza;56237;1;2;Mağlubiyet
2021-2022;101530000;558980000;Beşiktaş;Borussia Dortmund;Vodafone Park;22445;1;2;Mağlubiyet
2021-2022;337730000;386050000;Sporting CP;AFC Ajax;Estádio José Alvalade;20382;1;5;Mağlubiyet
2021-2022;386050000;101530000;AFC Ajax;Beşiktaş;Johan Cruijff ArenA;52628;2;0;Galibiyet
2021-2022;558980000;337730000;Borussia Dortmund;Sporting CP;Signal Iduna Park;25000;1;0;Galibiyet
2021-2022;101530000;337730000;Beşiktaş;Sporting CP;Vodafone Park;22936;1;4;Mağlubiyet
2021-2022;386050000;558980000;AFC Ajax;Borussia Dortmund;Johan Cruijff ArenA;54029;4;0;Galibiyet
2021-2022;558980000;386050000;Borussia Dortmund;AFC Ajax;Signal Iduna Park;54820;1;3;Mağlubiyet
2021-2022;337730000;101530000;Sporting CP;Beşiktaş;Estádio José Alvalade;40835;4;0;Galibiyet
2021-2022;101530000;386050000;Beşiktaş;AFC Ajax;Vodafone Park;11712;1;2;Mağlubiyet
2021-2022;337730000;558980000;Sporting CP;Borussia Dortmund;Estádio José Alvalade;41341;3;1;Galibiyet
2021-2022;386050000;337730000;AFC Ajax;Sporting CP;Johan Cruijff ArenA;0;4;2;Galibiyet
2021-2022;558980000;101530000;Borussia Dortmund;Beşiktaş;Signal Iduna Park;15000;5;0;Galibiyet
2021-2022;30630000;208000000;FC Sheriff;Shakhtar Donetsk;Sheriff Stadium;5205;2;0;Galibiyet
2021-2022;558550000;770750000;Inter;Real Madrid;Giuseppe Meazza;37082;0;1;Mağlubiyet
2021-2022;208000000;558550000;Shakhtar Donetsk;Inter;Olimpiyskyi;26170;0;0;Beraberlik
2021-2022;770750000;30630000;Real Madrid;FC Sheriff;Santiago Bernabéu;24522;1;2;Mağlubiyet
2021-2022;208000000;770750000;Shakhtar Donetsk;Real Madrid;Olimpiyskyi;34037;0;5;Mağlubiyet
2021-2022;558550000;30630000;Inter;FC Sheriff;Giuseppe Meazza;43305;3;1;Galibiyet
2021-2022;770750000;208000000;Real Madrid;Shakhtar Donetsk;Santiago Bernabéu;38105;2;1;Galibiyet
2021-2022;30630000;558550000;FC Sheriff;Inter;Sheriff Stadium;5930;1;3;Mağlubiyet
2021-2022;558550000;208000000;Inter;Shakhtar Donetsk;Giuseppe Meazza;46225;2;0;Galibiyet
2021-2022;30630000;770750000;FC Sheriff;Real Madrid;Sheriff Stadium;5932;0;3;Mağlubiyet
2021-2022;770750000;558550000;Real Madrid;Inter;Santiago Bernabéu;46887;2;0;Galibiyet
2021-2022;208000000;30630000;Shakhtar Donetsk;FC Sheriff;Olimpiyskyi;6841;1;1;Beraberlik
2021-2022;735600000;790300000;FC Barcelona;Bayern München;Spotify Camp Nou;39737;0;3;Mağlubiyet
2021-2022;144400000;310180000;Dinamo Kiev;SL Benfica;Olimpiyskyi;21657;0;0;Beraberlik
2021-2022;310180000;735600000;SL Benfica;FC Barcelona;Estádio da Luz;29454;3;0;Galibiyet
2021-2022;790300000;144400000;Bayern München;Dinamo Kiev;Allianz Arena;25000;5;0;Galibiyet
2021-2022;735600000;144400000;FC Barcelona;Dinamo Kiev;Spotify Camp Nou;45968;1;0;Galibiyet
2021-2022;310180000;790300000;SL Benfica;Bayern München;Estádio da Luz;50000;0;4;Mağlubiyet
2021-2022;790300000;310180000;Bayern München;SL Benfica;Allianz Arena;50000;5;2;Galibiyet
2021-2022;144400000;735600000;Dinamo Kiev;FC Barcelona;Olimpiyskyi;31378;0;1;Mağlubiyet
2021-2022;144400000;790300000;Dinamo Kiev;Bayern München;Olimpiyskyi;28732;1;2;Mağlubiyet
2021-2022;735600000;310180000;FC Barcelona;SL Benfica;Spotify Camp Nou;49572;0;0;Beraberlik
2021-2022;790300000;735600000;Bayern München;FC Barcelona;Allianz Arena;0;3;0;Galibiyet
2021-2022;310180000;144400000;SL Benfica;Dinamo Kiev;Estádio da Luz;37000;2;0;Galibiyet
2021-2022;74980000;769150000;BSC Young Boys;Manchester United;Stadion Wankdorf;31120;2;1;Galibiyet
2021-2022;408900000;398750000;Villarreal CF;Atalanta;Estadio de la Cerámica;12916;2;2;Beraberlik
2021-2022;398750000;74980000;Atalanta;BSC Young Boys;Gewiss Stadium;8536;1;0;Galibiyet
2021-2022;769150000;408900000;Manchester United;Villarreal CF;Old Trafford;73130;2;1;Galibiyet
2021-2022;769150000;398750000;Manchester United;Atalanta;Old Trafford;72279;3;2;Galibiyet
2021-2022;74980000;408900000;BSC Young Boys;Villarreal CF;Stadion Wankdorf;27398;1;4;Mağlubiyet
2021-2022;398750000;769150000;Atalanta;Manchester United;Gewiss Stadium;14443;2;2;Beraberlik
2021-2022;408900000;74980000;Villarreal CF;BSC Young Boys;Estadio de la Cerámica;14890;2;0;Galibiyet
2021-2022;408900000;769150000;Villarreal CF;Manchester United;Estadio de la Cerámica;20875;0;2;Mağlubiyet
2021-2022;74980000;398750000;BSC Young Boys;Atalanta;Stadion Wankdorf;31120;3;3;Beraberlik
2021-2022;769150000;74980000;Manchester United;BSC Young Boys;Old Trafford;73156;1;1;Beraberlik
2021-2022;398750000;408900000;Atalanta;Villarreal CF;Gewiss Stadium;11690;2;3;Mağlubiyet
2021-2022;385000000;263300000;Sevilla FC;RB Salzburg;Ramón Sánchez Pizjuán;18373;1;1;Beraberlik
2021-2022;306880000;269300000;Lille OSC;VfL Wolfsburg;Stade Pierre Mauroy;34314;0;0;Beraberlik
2021-2022;263300000;306880000;RB Salzburg;Lille OSC;Red Bull Arena;24207;2;1;Galibiyet
2021-2022;269300000;385000000;VfL Wolfsburg;Sevilla FC;Volkswagen Arena;11733;1;1;Beraberlik
2021-2022;263300000;269300000;RB Salzburg;VfL Wolfsburg;Red Bull Arena;27500;3;1;Galibiyet
2021-2022;306880000;385000000;Lille OSC;Sevilla FC;Stade Pierre Mauroy;34362;0;0;Beraberlik
2021-2022;269300000;263300000;VfL Wolfsburg;RB Salzburg;Volkswagen Arena;16112;2;1;Galibiyet
2021-2022;385000000;306880000;Sevilla FC;Lille OSC;Ramón Sánchez Pizjuán;29369;1;2;Mağlubiyet
2021-2022;306880000;263300000;Lille OSC;RB Salzburg;Stade Pierre Mauroy;33573;1;0;Galibiyet
2021-2022;385000000;269300000;Sevilla FC;VfL Wolfsburg;Ramón Sánchez Pizjuán;28663;2;0;Galibiyet
2021-2022;263300000;385000000;RB Salzburg;Sevilla FC;Red Bull Arena;0;1;0;Galibiyet
2021-2022;269300000;306880000;VfL Wolfsburg;Lille OSC;Volkswagen Arena;6544;1;3;Mağlubiyet
2021-2022;914500000;201150000;Chelsea FC;Zenit St. Petersburg;Stamford Bridge;39252;1;0;Galibiyet
2021-2022;31780000;642500000;Malmö FF;Juventus;Nya Malmö Stadion;5832;0;3;Mağlubiyet
2021-2022;201150000;31780000;Zenit St. Petersburg;Malmö FF;Gazprom Arena;15339;4;0;Galibiyet
2021-2022;642500000;914500000;Juventus;Chelsea FC;Allianz Stadium;19934;1;0;Galibiyet
2021-2022;201150000;642500000;Zenit St. Petersburg;Juventus;Gazprom Arena;18717;0;1;Mağlubiyet
2021-2022;914500000;31780000;Chelsea FC;Malmö FF;Stamford Bridge;39095;4;0;Galibiyet
2021-2022;31780000;914500000;Malmö FF;Chelsea FC;Nya Malmö Stadion;19551;0;1;Mağlubiyet
2021-2022;642500000;201150000;Juventus;Zenit St. Petersburg;Allianz Stadium;20053;4;2;Galibiyet
2021-2022;914500000;642500000;Chelsea FC;Juventus;Stamford Bridge;39513;4;0;Galibiyet
2021-2022;31780000;201150000;Malmö FF;Zenit St. Petersburg;Nya Malmö Stadion;19551;1;1;Beraberlik
2021-2022;201150000;914500000;Zenit St. Petersburg;Chelsea FC;Gazprom Arena;29349;3;3;Beraberlik
2021-2022;642500000;31780000;Juventus;Malmö FF;Allianz Stadium;17501;1;0;Galibiyet
2021-2022;337730000;1000000000;Sporting CP;Manchester City;Estádio José Alvalade;48129;0;5;Mağlubiyet
2021-2022;889550000;770750000;Paris Saint-Germain;Real Madrid;Parc des Princes;47443;1;0;Galibiyet
2021-2022;263300000;790300000;RB Salzburg;Bayern München;Red Bull Arena;29520;1;1;Beraberlik
2021-2022;558550000;918900000;Inter;Liverpool FC;Giuseppe Meazza;37918;0;2;Mağlubiyet
2021-2022;914500000;306880000;Chelsea FC;Lille OSC;Stamford Bridge;38832;2;0;Galibiyet
2021-2022;408900000;642500000;Villarreal CF;Juventus;Estadio de la Cerámica;17686;1;1;Beraberlik
2021-2022;310180000;386050000;SL Benfica;AFC Ajax;Estádio da Luz;54760;2;2;Beraberlik
2021-2022;661800000;769150000;Atlético Madrid;Manchester United;Wanda Metropolitano;63273;1;1;Beraberlik
2021-2022;790300000;263300000;Bayern München;RB Salzburg;Allianz Arena;25000;7;1;Galibiyet
2021-2022;918900000;558550000;Liverpool FC;Inter;Anfield;51747;0;1;Mağlubiyet
2021-2022;1000000000;337730000;Manchester City;Sporting CP;Etihad Stadium;51213;0;0;Beraberlik
2021-2022;770750000;889550000;Real Madrid;Paris Saint-Germain;Santiago Bernabéu;59895;3;1;Galibiyet
2021-2022;386050000;310180000;AFC Ajax;SL Benfica;Johan Cruijff ArenA;54066;0;1;Mağlubiyet
2021-2022;769150000;661800000;Manchester United;Atlético Madrid;Old Trafford;73008;0;1;Mağlubiyet
2021-2022;306880000;914500000;Lille OSC;Chelsea FC;Stade Pierre Mauroy;49048;1;2;Mağlubiyet
2021-2022;642500000;408900000;Juventus;Villarreal CF;Allianz Stadium;30385;0;3;Mağlubiyet
2021-2022;1000000000;661800000;Manchester City;Atlético Madrid;Etihad Stadium;52018;1;0;Galibiyet
2021-2022;310180000;918900000;SL Benfica;Liverpool FC;Estádio da Luz;59633;1;3;Mağlubiyet
2021-2022;914500000;770750000;Chelsea FC;Real Madrid;Stamford Bridge;38689;1;3;Mağlubiyet
2021-2022;408900000;790300000;Villarreal CF;Bayern München;Estadio de la Cerámica;21626;1;0;Galibiyet
2021-2022;770750000;914500000;Real Madrid;Chelsea FC;Santiago Bernabéu;59839;2;3;Mağlubiyet
2021-2022;790300000;408900000;Bayern München;Villarreal CF;Allianz Arena;70000;1;1;Beraberlik
2021-2022;661800000;1000000000;Atlético Madrid;Manchester City;Wanda Metropolitano;65675;0;0;Beraberlik
2021-2022;918900000;310180000;Liverpool FC;SL Benfica;Anfield;51373;3;3;Beraberlik
2021-2022;1000000000;770750000;Manchester City;Real Madrid;Etihad Stadium;55097;4;3;Galibiyet
2021-2022;918900000;408900000;Liverpool FC;Villarreal CF;Anfield;51586;2;0;Galibiyet
2021-2022;408900000;918900000;Villarreal CF;Liverpool FC;Estadio de la Cerámica;23665;2;3;Mağlubiyet
2021-2022;770750000;1000000000;Real Madrid;Manchester City;Santiago Bernabéu;61416;3;1;Galibiyet
2021-2022;918900000;770750000;Liverpool FC;Real Madrid;Stade de France;0;0;1;Mağlubiyet
2020-2021;188700000;114580000;RB Salzburg;Lokomotiv Moskva;Red Bull Arena;3000;2;2;Beraberlik
2020-2021;858230000;773100000;Bayern München;Atlético Madrid;Allianz Arena;0;4;0;Galibiyet
2020-2021;114580000;858230000;Lokomotiv Moskva;Bayern München;RŽD-Arena;8196;1;2;Mağlubiyet
2020-2021;773100000;188700000;Atlético Madrid;RB Salzburg;Wanda Metropolitano;0;3;2;Galibiyet
2020-2021;114580000;773100000;Lokomotiv Moskva;Atlético Madrid;RŽD-Arena;8147;1;1;Beraberlik
2020-2021;188700000;858230000;RB Salzburg;Bayern München;Red Bull Arena;0;2;6;Mağlubiyet
2020-2021;773100000;114580000;Atlético Madrid;Lokomotiv Moskva;Wanda Metropolitano;0;0;0;Beraberlik
2020-2021;858230000;188700000;Bayern München;RB Salzburg;Allianz Arena;0;3;1;Galibiyet
2020-2021;114580000;188700000;Lokomotiv Moskva;RB Salzburg;RŽD-Arena;6759;1;3;Mağlubiyet
2020-2021;773100000;858230000;Atlético Madrid;Bayern München;Wanda Metropolitano;0;1;1;Beraberlik
2020-2021;858230000;114580000;Bayern München;Lokomotiv Moskva;Allianz Arena;0;2;0;Galibiyet
2020-2021;188700000;773100000;RB Salzburg;Atlético Madrid;Red Bull Arena;0;0;2;Mağlubiyet
2020-2021;787300000;162500000;Real Madrid;Shakhtar Donetsk;Alfredo Di Stéfano;0;2;3;Mağlubiyet
2020-2021;663900000;300750000;Inter;Bor. Mönchengladbach;Giuseppe Meazza;1000;2;2;Beraberlik
2020-2021;162500000;663900000;Shakhtar Donetsk;Inter;Olimpiyskyi;10178;0;0;Beraberlik
2020-2021;300750000;787300000;Bor. Mönchengladbach;Real Madrid;Borussia-Park;0;2;2;Beraberlik
2020-2021;162500000;300750000;Shakhtar Donetsk;Bor. Mönchengladbach;Olimpiyskyi;0;0;6;Mağlubiyet
2020-2021;787300000;663900000;Real Madrid;Inter;Alfredo Di Stéfano;0;3;2;Galibiyet
2020-2021;300750000;162500000;Bor. Mönchengladbach;Shakhtar Donetsk;Borussia-Park;0;4;0;Galibiyet
2020-2021;663900000;787300000;Inter;Real Madrid;Giuseppe Meazza;0;0;2;Mağlubiyet
2020-2021;162500000;787300000;Shakhtar Donetsk;Real Madrid;Olimpiyskyi;0;2;0;Galibiyet
2020-2021;300750000;663900000;Bor. Mönchengladbach;Inter;Borussia-Park;0;2;3;Mağlubiyet
2020-2021;663900000;162500000;Inter;Shakhtar Donetsk;Giuseppe Meazza;0;0;0;Beraberlik
2020-2021;787300000;300750000;Real Madrid;Bor. Mönchengladbach;Alfredo Di Stéfano;0;2;0;Galibiyet
2020-2021;1004000000;327600000;Manchester City;FC Porto;Etihad Stadium;0;3;1;Galibiyet
2020-2021;113700000;251400000;Olympiakos Piraeus;Olympique Marseille;Georgios Karaiskakis;0;1;0;Galibiyet
2020-2021;327600000;113700000;FC Porto;Olympiakos Piraeus;Estádio do Dragão;2450;2;0;Galibiyet
2020-2021;251400000;1004000000;Olympique Marseille;Manchester City;Vélodrome;0;0;3;Mağlubiyet
2020-2021;327600000;251400000;FC Porto;Olympique Marseille;Estádio do Dragão;0;3;0;Galibiyet
2020-2021;1004000000;113700000;Manchester City;Olympiakos Piraeus;Etihad Stadium;0;3;0;Galibiyet
2020-2021;113700000;1004000000;Olympiakos Piraeus;Manchester City;Georgios Karaiskakis;0;0;1;Mağlubiyet
2020-2021;251400000;327600000;Olympique Marseille;FC Porto;Vélodrome;0;0;2;Mağlubiyet
2020-2021;327600000;1004000000;FC Porto;Manchester City;Estádio do Dragão;0;0;0;Beraberlik
2020-2021;251400000;113700000;Olympique Marseille;Olympiakos Piraeus;Vélodrome;0;2;1;Galibiyet
2020-2021;1004000000;251400000;Manchester City;Olympique Marseille;Etihad Stadium;1;3;0;Galibiyet
2020-2021;113700000;327600000;Olympiakos Piraeus;FC Porto;Georgios Karaiskakis;0;0;2;Mağlubiyet
2020-2021;428100000;969650000;AFC Ajax;Liverpool FC;Johan Cruijff ArenA;0;0;1;Mağlubiyet
2020-2021;55050000;430000000;FC Midtjylland;Atalanta;MCH Arena;132;0;4;Mağlubiyet
2020-2021;430000000;428100000;Atalanta;AFC Ajax;Gewiss Stadium;0;2;2;Beraberlik
2020-2021;969650000;55050000;Liverpool FC;FC Midtjylland;Anfield;0;2;0;Galibiyet
2020-2021;430000000;969650000;Atalanta;Liverpool FC;Gewiss Stadium;0;0;5;Mağlubiyet
2020-2021;55050000;428100000;FC Midtjylland;AFC Ajax;MCH Arena;132;1;2;Mağlubiyet
2020-2021;428100000;55050000;AFC Ajax;FC Midtjylland;Johan Cruijff ArenA;0;3;1;Galibiyet
2020-2021;969650000;430000000;Liverpool FC;Atalanta;Anfield;0;0;2;Mağlubiyet
2020-2021;430000000;55050000;Atalanta;FC Midtjylland;Gewiss Stadium;0;1;1;Beraberlik
2020-2021;969650000;428100000;Liverpool FC;AFC Ajax;Anfield;0;1;0;Galibiyet
2020-2021;428100000;430000000;AFC Ajax;Atalanta;Johan Cruijff ArenA;0;0;1;Mağlubiyet
2020-2021;55050000;969650000;FC Midtjylland;Liverpool FC;MCH Arena;0;1;1;Beraberlik
2020-2021;889200000;418250000;Chelsea FC;Sevilla FC;Stamford Bridge;0;0;0;Beraberlik
2020-2021;297500000;100280000;Stade Rennes;FK Krasnodar;Roazhon Park;4973;1;1;Beraberlik
2020-2021;100280000;889200000;FK Krasnodar;Chelsea FC;Krasnodar Stadium;10544;0;4;Mağlubiyet
2020-2021;418250000;297500000;Sevilla FC;Stade Rennes;Ramón Sánchez Pizjuán;0;1;0;Galibiyet
2020-2021;889200000;297500000;Chelsea FC;Stade Rennes;Stamford Bridge;0;3;0;Galibiyet
2020-2021;418250000;100280000;Sevilla FC;FK Krasnodar;Ramón Sánchez Pizjuán;1;3;2;Galibiyet
2020-2021;297500000;889200000;Stade Rennes;Chelsea FC;Roazhon Park;0;1;2;Mağlubiyet
2020-2021;100280000;418250000;FK Krasnodar;Sevilla FC;Krasnodar Stadium;10554;1;2;Mağlubiyet
2020-2021;100280000;297500000;FK Krasnodar;Stade Rennes;Krasnodar Stadium;8747;1;0;Galibiyet
2020-2021;418250000;889200000;Sevilla FC;Chelsea FC;Ramón Sánchez Pizjuán;0;0;4;Mağlubiyet
2020-2021;889200000;100280000;Chelsea FC;FK Krasnodar;Stamford Bridge;2000;1;1;Beraberlik
2020-2021;297500000;418250000;Stade Rennes;Sevilla FC;Roazhon Park;0;1;3;Mağlubiyet
2020-2021;177650000;170900000;Zenit St. Petersburg;Club Brugge KV;Gazprom Arena;16682;1;2;Mağlubiyet
2020-2021;326330000;628400000;Lazio Roma;Borussia Dortmund;Olimpico;1000;3;1;Galibiyet
2020-2021;628400000;177650000;Borussia Dortmund;Zenit St. Petersburg;Signal Iduna Park;0;2;0;Galibiyet
2020-2021;170900000;326330000;Club Brugge KV;Lazio Roma;Jan Breydel Stadion;0;1;1;Beraberlik
2020-2021;177650000;326330000;Zenit St. Petersburg;Lazio Roma;Gazprom Arena;0;1;1;Beraberlik
2020-2021;170900000;628400000;Club Brugge KV;Borussia Dortmund;Jan Breydel Stadion;0;0;3;Mağlubiyet
2020-2021;628400000;170900000;Borussia Dortmund;Club Brugge KV;Signal Iduna Park;0;3;0;Galibiyet
2020-2021;326330000;177650000;Lazio Roma;Zenit St. Petersburg;Olimpico;0;3;1;Galibiyet
2020-2021;628400000;326330000;Borussia Dortmund;Lazio Roma;Signal Iduna Park;0;1;1;Beraberlik
2020-2021;170900000;177650000;Club Brugge KV;Zenit St. Petersburg;Jan Breydel Stadion;0;3;0;Galibiyet
2020-2021;177650000;628400000;Zenit St. Petersburg;Borussia Dortmund;Gazprom Arena;10860;1;2;Mağlubiyet
2020-2021;326330000;170900000;Lazio Roma;Club Brugge KV;Olimpico;0;2;2;Beraberlik
2020-2021;130700000;633300000;Dinamo Kiev;Juventus;Olimpiyskyi;14850;0;2;Mağlubiyet
2020-2021;813500000;34010000;FC Barcelona;Ferencvárosi TC;Spotify Camp Nou;0;5;1;Galibiyet
2020-2021;34010000;130700000;Ferencvárosi TC;Dinamo Kiev;Groupama Aréna;6171;2;2;Beraberlik
2020-2021;633300000;813500000;Juventus;FC Barcelona;Allianz Stadium;0;0;2;Mağlubiyet
2020-2021;813500000;130700000;FC Barcelona;Dinamo Kiev;Spotify Camp Nou;0;2;1;Galibiyet
2020-2021;34010000;633300000;Ferencvárosi TC;Juventus;Puskás Aréna;18531;1;4;Mağlubiyet
2020-2021;130700000;813500000;Dinamo Kiev;FC Barcelona;Olimpiyskyi;0;0;4;Mağlubiyet
2020-2021;633300000;34010000;Juventus;Ferencvárosi TC;Allianz Stadium;0;2;1;Galibiyet
2020-2021;633300000;130700000;Juventus;Dinamo Kiev;Allianz Stadium;0;3;0;Galibiyet
2020-2021;34010000;813500000;Ferencvárosi TC;FC Barcelona;Groupama Aréna;0;0;3;Mağlubiyet
2020-2021;130700000;34010000;Dinamo Kiev;Ferencvárosi TC;Olimpiyskyi;0;1;0;Galibiyet
2020-2021;813500000;633300000;FC Barcelona;Juventus;Spotify Camp Nou;0;0;3;Mağlubiyet
2020-2021;574950000;69230000;RB Leipzig;İstanbul Başakşehir;Red Bull Arena;999;2;0;Galibiyet
2020-2021;805000000;770050000;Paris Saint-Germain;Manchester United;Parc des Princes;0;1;2;Mağlubiyet
2020-2021;69230000;805000000;İstanbul Başakşehir;Paris Saint-Germain;Fatih Terim Stadium;350;0;2;Mağlubiyet
2020-2021;770050000;574950000;Manchester United;RB Leipzig;Old Trafford;577;5;0;Galibiyet
2020-2021;69230000;770050000;İstanbul Başakşehir;Manchester United;Fatih Terim Stadium;350;2;1;Galibiyet
2020-2021;574950000;805000000;RB Leipzig;Paris Saint-Germain;Red Bull Arena;0;2;1;Galibiyet
2020-2021;770050000;69230000;Manchester United;İstanbul Başakşehir;Old Trafford;545;4;1;Galibiyet
2020-2021;805000000;574950000;Paris Saint-Germain;RB Leipzig;Parc des Princes;0;1;0;Galibiyet
2020-2021;69230000;574950000;İstanbul Başakşehir;RB Leipzig;Fatih Terim Stadium;0;3;4;Mağlubiyet
2020-2021;770050000;805000000;Manchester United;Paris Saint-Germain;Old Trafford;638;1;3;Mağlubiyet
2020-2021;574950000;770050000;RB Leipzig;Manchester United;Red Bull Arena;0;3;2;Galibiyet
2020-2021;805000000;69230000;Paris Saint-Germain;İstanbul Başakşehir;Parc des Princes;0;5;1;Galibiyet
2020-2021;574950000;969650000;RB Leipzig;Liverpool FC;Puskás Aréna;0;0;2;Mağlubiyet
2020-2021;813500000;805000000;FC Barcelona;Paris Saint-Germain;Spotify Camp Nou;0;1;4;Mağlubiyet
2020-2021;327600000;633300000;FC Porto;Juventus;Estádio do Dragão;0;2;1;Galibiyet
2020-2021;418250000;628400000;Sevilla FC;Borussia Dortmund;Ramón Sánchez Pizjuán;0;2;3;Mağlubiyet
2020-2021;326330000;858230000;Lazio Roma;Bayern München;Olimpico;0;1;4;Mağlubiyet
2020-2021;773100000;889200000;Atlético Madrid;Chelsea FC;Arena Națională;0;0;1;Mağlubiyet
2020-2021;300750000;1004000000;Bor. Mönchengladbach;Manchester City;Puskás Aréna;0;0;2;Mağlubiyet
2020-2021;430000000;787300000;Atalanta;Real Madrid;Gewiss Stadium;0;0;1;Mağlubiyet
2020-2021;633300000;327600000;Juventus;FC Porto;Allianz Stadium;0;3;2;Galibiyet
2020-2021;628400000;418250000;Borussia Dortmund;Sevilla FC;Signal Iduna Park;0;2;2;Beraberlik
2020-2021;969650000;574950000;Liverpool FC;RB Leipzig;Puskás Aréna;0;2;0;Galibiyet
2020-2021;805000000;813500000;Paris Saint-Germain;FC Barcelona;Parc des Princes;0;1;1;Beraberlik
2020-2021;1004000000;300750000;Manchester City;Bor. Mönchengladbach;Puskás Aréna;0;2;0;Galibiyet
2020-2021;787300000;430000000;Real Madrid;Atalanta;Alfredo Di Stéfano;0;3;1;Galibiyet
2020-2021;858230000;326330000;Bayern München;Lazio Roma;Allianz Arena;0;2;1;Galibiyet
2020-2021;889200000;773100000;Chelsea FC;Atlético Madrid;Stamford Bridge;0;2;0;Galibiyet
2020-2021;1004000000;628400000;Manchester City;Borussia Dortmund;Etihad Stadium;0;2;1;Galibiyet
2020-2021;787300000;969650000;Real Madrid;Liverpool FC;Alfredo Di Stéfano;0;3;1;Galibiyet
2020-2021;327600000;889200000;FC Porto;Chelsea FC;Ramón Sánchez Pizjuán;0;0;2;Mağlubiyet
2020-2021;858230000;805000000;Bayern München;Paris Saint-Germain;Allianz Arena;0;2;3;Mağlubiyet
2020-2021;889200000;327600000;Chelsea FC;FC Porto;Ramón Sánchez Pizjuán;0;0;1;Mağlubiyet
2020-2021;805000000;858230000;Paris Saint-Germain;Bayern München;Parc des Princes;0;0;1;Mağlubiyet
2020-2021;628400000;1004000000;Borussia Dortmund;Manchester City;Signal Iduna Park;0;1;2;Mağlubiyet
2020-2021;969650000;787300000;Liverpool FC;Real Madrid;Anfield;0;0;0;Beraberlik
2020-2021;787300000;889200000;Real Madrid;Chelsea FC;Alfredo Di Stéfano;0;1;1;Beraberlik
2020-2021;805000000;1004000000;Paris Saint-Germain;Manchester City;Parc des Princes;0;1;2;Mağlubiyet
2020-2021;1004000000;805000000;Manchester City;Paris Saint-Germain;Etihad Stadium;0;2;0;Galibiyet
2020-2021;889200000;787300000;Chelsea FC;Real Madrid;Stamford Bridge;0;2;0;Galibiyet
2020-2021;1004000000;889200000;Manchester City;Chelsea FC;Estádio do Dragão;14110;0;1;Mağlubiyet
2019-2020;160730000;105130000;Club Brugge KV;Galatasaray;Jan Breydel Stadion;26616;0;0;Beraberlik
2019-2020;874150000;913750000;Paris Saint-Germain;Real Madrid;Parc des Princes;46361;3;0;Galibiyet
2019-2020;913750000;160730000;Real Madrid;Club Brugge KV;Santiago Bernabéu;65112;2;2;Beraberlik
2019-2020;105130000;874150000;Galatasaray;Paris Saint-Germain;Nef Stadyumu;46532;0;1;Mağlubiyet
2019-2020;160730000;874150000;Club Brugge KV;Paris Saint-Germain;Jan Breydel Stadion;26946;0;5;Mağlubiyet
